"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"PINHD-2X4";"2X04";"CN3";"PIN HEADER";"";
"1";"";"PINHD-2X5";"2X05";"CN2";"PIN HEADER";"";
"1";"0.047uF";"CAPACITOR2012";"SMD2012";"C18";"Generic Capacitor";"";
"11";"0.1uF";"CAPACITOR2012";"SMD2012";"C1, C2, C3, C4, C8, C9, C10, C11, C15, C19, C20";"Generic Capacitor";"";
"1";"1.8k";"RESISTOR-US2012";"SMD2012";"RB1";"Generic Registor";"";
"1";"10";"RESISTOR-US2012";"SMD2012";"R18";"Generic Registor";"";
"3";"10k";"RESISTOR-US2012";"SMD2012";"R1, R9, RB2";"Generic Registor";"";
"2";"10uF";"CAPACITOR-POLPANASONIC_B";"PANASONIC_B";"C12, C17";"Generic Capacitor with Polarity";"";
"2";"10Î© 0.5W";"R3225";"3225";"RC1, RC2";"RESISTOR";"";
"2";"12pF";"CAPACITOR2012";"SMD2012";"C5, C6";"Generic Capacitor";"";
"1";"16MHz CL:10pF";"CRYSTAL-3.2-2.5";"CRYSTAL-3.2-2.5";"XTAL1";"";"";
"2";"1k";"RESISTOR-US2012";"SMD2012";"R5, R7";"Generic Registor";"";
"2";"1uF";"CAPACITOR2012";"SMD2012";"C7, C16";"Generic Capacitor";"";
"2";"2.2k";"RESISTOR-US2012";"SMD2012";"R10, R15";"Generic Registor";"";
"2";"22";"RESISTOR-US2012";"SMD2012";"R3, R4";"Generic Registor";"";
"1";"220";"RESISTOR-US2012";"SMD2012";"R13";"Generic Registor";"";
"1";"2SD1781KT146Q";"MMUN2211LT1-NPN-SC59-BEC";"SC59-BEC";"T1";"NPN Transistror";"";
"2";"3.3k";"RESISTOR-US2012";"SMD2012";"R11, R14";"Generic Registor";"";
"1";"4.7k";"RESISTOR-US2012";"SMD2012";"R12";"Generic Registor";"";
"2";"4.7uF";"CAPACITOR2012";"SMD2012";"C13, C14";"Generic Capacitor";"";
"3";"5.1k";"RESISTOR-US2012";"SMD2012";"R2, R8, R16";"Generic Registor";"";
"1";"5MMRGBLED";"5MMRGBLED";"LED5MMRGB";"LED2";"";"";
"1";"680";"RESISTOR-US2012";"SMD2012";"R6";"Generic Registor";"";
"1";"ATMEGA32U4AU";"ATMEGA32U4AU";"TQFP44-PAD";"IC1";"";"";
"1";"BSS138";"BSS138";"SOT23";"T2";"Fairchild Semiconductors BSS138 N-Channel Logic Level Enhancement Mode Field Effect Transistor";"";
"3";"CG0603MLC-05E";"VARISTORCN0603";"CT/CN0603";"V1, V2, V3";"VARISTOR";"";
"1";"EVQPUJ02K";"TACTILE-SWITCHEVQPUJ02K";"TACTILE-SWITCH-EVQPUJ02K";"SW1";"TACTILE SWITCH";"";
"1";"GS1011MXXS";"GS1011MXXS";"GS1011MXXS";"IC4";"";"";
"1";"ICSP";"PINHD-2X3";"2X03";"ICSP";"PIN HEADER";"";
"2";"LA-6";"LED-SPACER";"LED-SPACER";"SP1, SP2";"";"";
"1";"LED-CAP";"LED-CAP";"LED-CAP";"LEDCAP1";"";"";
"1";"LM386M-1";"LM386M-1";"SO08";"IC3";"Low Voltage Audio Power Amplifier";"";
"1";"MF-MSMF075-2";"L-EUL1812";"L1812";"F1";"INDUCTOR, European symbol";"";
"1";"OSG50805C1C";"LED-2012";"LED2012";"LED1";"Through-hole LED";"";
"1";"PL-IRM2161";"PL-IRM2161";"IR-RECEIVER";"IR-RECEIVER";"PL-IRM2161-XD1";"";
"4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4";"#4 Stand Off";"";
"1";"TLV70233DBVT";"TLV702XXSMD";"SOT23-5";"IC2";"TLV702xx";"";
"2";"VSLB3940";"LED-3MM";"LED3MM";"D1, D2";"Through-hole LED";"";
"1";"ZX62-B-5PA(11)";"USB-CONNECTORMICROB";"USB-MICROB";"CN1";"";"";
"4";"flat-head M3 self-tapping";"SCREW";"SCREW-M3";"SCREW1, SCREW2, SCREW3, SCREW4";"";"";
"1";"kus0323";"MICELECTRET_SMD";"MIC_SMD_4MM";"MIC";"Omni-directional electret condenser microphone.";"";
